index,rating,gpt-3.5-turbo-0125,gpt-4o-2024-05-13,llama3:8b,llama3:70b,context_length,context_relevance,TP_TN_count
0,True,FN,FN,TP,FN,2398,none,1
1,False,TN,TN,FP,TN,1664,none,3
2,False,TN,TN,FP,TN,2285,none,3
3,False,TN,TN,FP,TN,2307,none,3
4,False,FP,TN,FP,FP,2160,none,1
5,False,FP,TN,FP,FP,2322,none,1
6,False,FP,TN,FP,FP,2356,none,1
7,True,FN,FN,TP,TP,2293,none,2
8,False,TN,TN,TN,TN,2339,none,4
9,True,TP,FN,FN,FN,2254,none,1
10,False,FP,FP,FP,TN,2295,none,1
11,False,TN,TN,FP,TN,2109,none,3
12,False,TN,TN,FP,FP,1868,none,2
13,True,FN,TP,TP,TP,1987,none,3
14,True,TP,TP,TP,TP,1934,none,4
15,False,TN,TN,TN,TN,2236,none,4
16,True,TP,TP,FN,TP,2302,none,3
17,False,FP,TN,FP,FP,2321,none,1
18,False,TN,TN,FP,FP,2198,none,2
19,True,TP,TP,TP,TP,2171,none,4
21,True,TP,TP,TP,TP,2272,none,4
22,False,TN,TN,TN,TN,2385,none,4
23,False,TN,TN,TN,TN,1946,none,4
24,True,TP,TP,TP,TP,2248,none,4
25,True,TP,TP,TP,TP,2351,none,4
26,True,FN,TP,TP,TP,1989,none,3
27,False,TN,TN,FP,FP,2139,none,2
28,False,FP,FP,FP,TN,2224,none,1
29,False,TN,TN,FP,TN,2203,none,3
30,False,FP,TN,FP,TN,2297,none,2
31,False,FP,TN,FP,FP,2311,none,1
32,False,TN,TN,FP,FP,2201,none,2
33,False,FP,TN,TN,FP,2145,none,2
34,False,TN,TN,TN,FP,2201,none,3
35,False,TN,TN,FP,FP,2121,none,2
36,False,TN,TN,TN,TN,2333,none,4
37,False,TN,TN,TN,TN,2245,none,4
38,False,TN,TN,TN,TN,1900,none,4
39,True,TP,TP,TP,FN,2366,none,3
40,False,TN,TN,TN,TN,2216,none,4
41,False,TN,TN,TN,TN,1795,none,4
42,True,TP,TP,FN,TP,2041,none,3
43,False,TN,TN,FP,FP,2361,none,2
44,False,TN,TN,FP,FP,2120,none,2
45,False,TN,TN,FP,TN,2243,none,3
46,False,TN,TN,FP,TN,2264,none,3
47,False,TN,TN,TN,TN,2210,none,4
48,False,FP,TN,FP,TN,2331,none,2
49,False,FP,TN,FP,FP,2186,none,1
50,True,TP,FN,TP,TP,2288,none,3
51,True,TP,FN,TP,FN,2481,none,2
52,True,TP,FN,TP,TP,2423,none,3
53,True,TP,FN,TP,TP,2272,none,3
54,False,TN,TN,FP,TN,2337,none,3
55,True,TP,FN,TP,FN,2398,none,2
56,False,FP,TN,FP,TN,2232,none,2
57,True,FN,TP,TP,TP,2244,none,3
58,True,FN,TP,TP,FN,2248,none,2
59,True,TP,TP,TP,TP,2286,none,4
60,True,TP,TP,TP,TP,2352,none,4
61,True,TP,TP,TP,FN,1931,none,3
62,False,TN,TN,FP,TN,2096,none,3
63,False,TN,TN,FP,TN,2402,none,3
64,False,FP,TN,FP,TN,2380,none,2
65,True,FN,FN,TP,TP,2395,none,2
67,True,TP,TP,TP,FN,2481,none,3
68,True,TP,TP,TP,TP,2273,none,4
70,True,TP,TP,TP,TP,2341,none,4
71,True,TP,TP,TP,TP,2400,none,4
72,False,TN,TN,FP,TN,2436,none,3
73,False,FP,TN,FP,FP,2411,none,1
74,True,TP,FN,TP,TP,2437,none,3
75,True,TP,TP,TP,TP,2281,none,4
76,False,TN,FP,FP,FP,2392,none,1
77,False,FP,TN,FP,FP,2239,none,1
78,False,FP,TN,FP,FP,2288,none,1
79,False,FP,TN,FP,TN,2395,none,2
80,False,FP,TN,TN,FP,2297,none,2
81,True,TP,TP,FN,FN,2335,none,2
82,False,FP,TN,TN,TN,2143,none,3
83,True,TP,TP,FN,TP,2217,none,3
84,True,TP,TP,FN,TP,2384,none,3
85,False,TN,TN,TN,FP,2212,none,3
86,True,TP,FN,FN,FN,2481,none,1
87,False,FP,TN,FP,FP,2297,none,1
88,True,TP,TP,TP,TP,2351,none,4
89,True,TP,FN,TP,FN,2479,none,2
90,False,FP,TN,FP,TN,2277,none,2
91,True,TP,TP,TP,TP,2376,none,4
92,False,TN,TN,FP,FP,2084,none,2
93,False,TN,TN,FP,FP,2395,none,2
94,True,TP,TP,TP,TP,2201,none,4
95,False,TN,TN,FP,FP,2258,none,2
96,True,TP,TP,FN,TP,2380,none,3
97,False,FP,TN,TN,FP,2450,none,2
98,True,TP,FN,FN,FN,2437,none,1
99,True,TP,FN,TP,FN,2266,none,2
100,False,TN,FP,FP,FP,2176,none,1
101,True,TP,TP,TP,TP,2242,none,4
102,True,TP,TP,TP,TP,2405,none,4
103,True,TP,TP,TP,TP,2286,none,4
104,True,TP,TP,TP,TP,2228,none,4
105,True,TP,TP,TP,TP,2293,none,4
106,True,TP,TP,TP,TP,2307,none,4
107,False,FP,TN,FP,TN,2421,none,2
108,False,TN,TN,TN,TN,2206,none,4
109,False,TN,FP,FP,FP,2222,none,1
110,False,TN,TN,FP,TN,2055,none,3
111,False,TN,TN,FP,TN,1941,none,3
112,True,TP,TP,TP,TP,2271,none,4
113,False,TN,TN,FP,TN,2154,none,3
114,True,TP,TP,TP,FN,2019,none,3
115,True,TP,FN,TP,TP,2348,none,3
116,False,TN,TN,FP,FP,2294,none,2
117,False,TN,TN,FP,TN,2340,none,3
118,True,FN,TP,TP,TP,2286,none,3
119,False,TN,TN,FP,FP,2217,none,2
120,False,TN,TN,FP,TN,2384,none,3
121,False,TN,TN,FP,TN,2200,none,3
122,False,TN,TN,FP,TN,2247,none,3
123,True,TP,FN,TP,TP,2385,none,3
124,False,FP,TN,FP,TN,2010,none,2
125,True,TP,FN,TP,FN,2447,none,2
126,True,TP,TP,TP,TP,2387,none,4
127,False,TN,TN,FP,TN,2226,none,3
128,True,TP,TP,TP,TP,2286,none,4
129,False,FP,TN,FP,TN,2444,none,2
130,True,TP,TP,TP,TP,2354,none,4
131,True,TP,TP,TP,TP,2405,none,4
132,True,TP,FN,TP,TP,2244,none,3
133,True,TP,TP,TP,TP,2286,none,4
134,False,TN,TN,FP,TN,2255,none,3
135,False,TN,FP,FP,FP,2333,none,1
136,True,TP,FN,TP,TP,2239,none,3
138,True,TP,TP,FN,FN,2227,none,2
139,False,FP,TN,TN,FP,2371,none,2
140,False,FP,TN,FP,FP,2255,none,1
141,True,FN,FN,TP,FN,2375,none,1
142,True,TP,TP,TP,TP,2413,none,4
143,False,FP,TN,FP,FP,2232,none,1
144,True,FN,TP,TP,TP,2396,none,3
145,True,TP,TP,TP,TP,2371,none,4
146,True,TP,TP,TP,TP,2223,none,4
147,False,FP,TN,FP,FP,2324,none,1
148,False,TN,TN,FP,FP,2301,none,2
149,True,TP,TP,TP,TP,2309,none,4
150,True,FN,FN,TP,TP,2365,none,2
151,True,TP,FN,TP,FN,2437,none,2
152,True,FN,FN,TP,TP,2398,none,2
153,False,FP,TN,FP,TN,2259,none,2
154,False,TN,FP,FP,FP,2283,none,1
156,False,TN,TN,FP,TN,2304,none,3
157,True,TP,TP,TP,FN,2326,none,3
158,True,TP,TP,TP,TP,2397,none,4
160,True,TP,TP,FP,TP,2119,none,3
161,True,TP,TP,TP,TP,2299,none,4
162,False,FP,FP,TP,FP,2244,none,1
163,True,FN,TP,FP,TP,2139,none,2
164,True,TP,TP,TP,TP,2362,none,4
165,True,TP,FN,TP,TP,2428,none,3
166,False,FP,FP,TP,TN,2275,none,2
167,False,FP,TN,FP,FP,2203,none,1
168,True,TP,TP,FP,TP,2289,none,3
169,False,TN,TN,TP,TN,2361,none,4
170,True,TP,FN,FP,TP,2207,none,2
171,True,TP,FN,TP,FN,2481,none,2
172,False,FP,FP,TP,FP,2383,none,1
173,True,TP,FN,FP,TP,2428,none,2
175,False,TN,TN,TP,FP,2139,none,3
176,True,TP,FN,FP,FN,2356,none,1
177,False,FP,TN,TP,TN,2213,none,3
178,True,TP,TP,FP,FN,2427,none,2
179,True,TP,TP,TP,FN,2283,none,3
180,True,TP,FN,TP,TP,2397,none,3
181,True,TP,TP,FN,TP,2289,none,3
182,True,TP,TP,FN,TP,2427,none,3
183,False,FP,TN,FN,TN,2264,none,2
184,True,TP,TP,FP,FN,2364,none,2
185,True,TP,FN,TP,TP,2291,none,3
186,True,TP,TP,TP,TP,2330,none,4
187,True,TP,TP,TP,TP,2294,none,4
188,False,TN,TN,TP,FP,2168,none,3
190,False,FP,TN,FP,TN,2336,none,2
191,True,TP,TP,FP,FN,2295,none,2
192,True,FN,TP,TP,FN,2094,none,2
193,False,FP,FP,TP,FP,2260,none,1
194,True,FN,TP,FP,TP,2315,none,2
195,False,TN,TN,TP,FP,2274,none,3
196,True,TP,FN,FP,TP,2401,none,2
197,False,FP,TN,TP,FP,2224,none,2
198,False,TN,TN,FP,TN,2292,none,3
199,True,TP,TP,FP,TP,2313,none,3
200,False,FP,TN,TP,FP,2390,none,2
201,False,FP,TN,FP,TN,2184,none,2
202,True,TP,TP,FP,TP,2173,none,3
203,False,FP,TN,TP,TN,2303,none,3
204,False,TN,FP,FP,FP,2255,none,1
206,False,TN,TN,TN,TN,2224,none,4
207,False,FP,TN,FP,TN,2227,none,2
208,False,TN,FP,FP,FP,2361,none,1
210,False,TN,TN,FP,TN,2170,none,3
211,True,TP,FN,FP,TP,2138,none,2
212,False,TN,TN,TP,TN,2222,none,4
213,False,TN,TN,FP,TN,2287,none,3
214,True,TP,FN,FP,FN,2215,none,1
215,False,TN,TN,TP,TN,2273,none,4
216,True,TP,TP,FP,TP,2437,none,3
217,False,FP,TN,TP,TN,2232,none,3
218,False,FP,TN,FP,TN,2366,none,2
219,True,TP,TP,FP,TP,2374,none,3
221,False,TN,TN,TP,TN,2330,none,4
222,False,FP,TN,FP,FP,2355,none,1
223,True,TP,TP,FP,TP,2386,none,3
224,False,FP,TN,TP,FP,2395,none,2
225,False,TN,TN,FP,FP,2176,none,2
226,False,TN,FP,FP,FP,2361,none,1
227,False,FP,TN,FP,FP,2227,none,1
228,False,TN,TN,FP,FP,2272,none,2
229,False,TN,TN,FP,FP,2304,none,2
230,True,TP,TP,FP,TP,2328,none,3
232,False,FP,FP,TP,FP,1907,none,1
233,False,FP,TN,FP,FP,2085,none,1
234,True,TP,TP,FP,TP,2162,none,3
235,False,TN,TN,TP,TN,2186,none,4
236,False,FP,TN,FP,TN,2357,none,2
238,True,FN,TP,FP,TP,2157,none,2
239,True,TP,FN,TP,TP,2348,none,3
240,True,TP,FN,TP,TP,2088,none,3
241,True,FN,TP,TP,FN,2334,none,2
242,True,TP,TP,FN,FN,2393,none,2
243,False,TN,TN,TP,FP,2385,none,3
244,True,TP,TP,FP,FN,2481,none,2
245,False,FP,FP,TP,FP,2311,none,1
246,False,FP,TN,FP,TN,2254,none,2
248,False,TN,TN,FP,TN,2384,none,3
249,False,TN,TN,FP,TN,2225,none,3
250,False,TN,TN,FP,TN,2218,none,3
251,True,FN,FN,TN,TP,2346,none,2
252,False,TN,TN,TP,TN,2041,none,4
253,False,TN,TN,FP,TN,2119,none,3
254,False,TN,TN,FP,TN,2327,none,3
255,False,TN,TN,FP,TN,2265,none,3
256,False,TN,TN,TN,TN,2198,none,4
257,False,TN,TN,TN,TN,2355,none,4
258,False,FP,TN,TN,FP,2195,none,2
259,False,TN,TN,FP,TN,2238,none,3
260,False,FP,TN,FP,FP,2196,none,1
261,False,FP,TN,FP,FP,2085,none,1
263,False,TN,TN,FP,TN,2238,none,3
264,False,TN,TN,FP,FP,2066,none,2
266,False,TN,TN,FP,TN,2196,none,3
267,False,TN,TN,FP,TN,2282,none,3
268,True,TP,FN,FP,TP,2346,none,2
269,False,TN,TN,TP,TN,2339,none,4
270,False,TN,TN,FP,TN,2274,none,3
271,False,TN,TN,FP,TN,2200,none,3
272,True,TP,TP,FP,TP,2239,none,3
273,False,TN,TN,TP,TN,2246,none,4
277,False,TN,TN,TN,TN,2323,none,4
