index,rating,response_rating,gpt-3.5-turbo-0125
0,True,True,TP
1,False,False,TN
2,False,False,TN
3,False,False,TN
4,False,True,FP
5,False,True,FP
6,False,False,TN
7,True,False,FN
8,False,False,TN
9,True,True,TP
10,False,True,FP
11,False,False,TN
12,False,True,FP
13,True,False,FN
14,True,True,TP
15,False,False,TN
16,True,True,TP
17,False,True,FP
18,False,False,TN
19,True,True,TP
20,False,False,TN
21,True,True,TP
22,False,False,TN
23,False,False,TN
24,True,True,TP
25,True,True,TP
26,True,True,TP
27,False,False,TN
28,False,True,FP
29,False,False,TN
30,False,False,TN
31,False,True,FP
32,False,False,TN
33,False,False,TN
34,False,False,TN
35,False,False,TN
36,False,False,TN
37,False,False,TN
38,False,False,TN
39,True,False,FN
40,False,False,TN
41,False,False,TN
42,True,True,TP
43,False,False,TN
44,False,False,TN
45,False,False,TN
46,False,True,FP
47,False,False,TN
48,False,True,FP
49,False,False,TN
50,True,True,TP
51,True,True,TP
52,True,True,TP
53,True,True,TP
54,False,False,TN
55,True,False,FN
56,False,False,TN
57,True,False,FN
58,True,False,FN
59,True,True,TP
60,True,True,TP
61,True,True,TP
62,False,False,TN
63,False,False,TN
64,False,False,TN
65,True,True,TP
66,False,True,FP
67,True,False,FN
68,True,False,FN
69,False,True,FP
70,True,True,TP
71,True,True,TP
72,False,False,TN
73,False,True,FP
74,True,True,TP
75,True,False,FN
76,False,True,FP
77,False,False,TN
78,False,False,TN
79,False,False,TN
80,False,True,FP
81,True,True,TP
82,False,True,FP
83,True,False,FN
84,True,True,TP
85,False,True,FP
86,True,False,FN
87,False,True,FP
88,True,True,TP
89,True,True,TP
90,False,False,TN
91,True,True,TP
92,False,True,FP
93,False,False,TN
94,True,False,FN
95,False,False,TN
96,True,True,TP
97,False,False,TN
98,True,True,TP
99,True,True,TP
100,False,False,TN
101,True,True,TP
102,True,False,FN
103,True,True,TP
104,True,True,TP
105,True,False,FN
106,True,True,TP
107,False,True,FP
108,False,False,TN
109,False,False,TN
110,False,False,TN
111,False,False,TN
112,True,True,TP
113,False,False,TN
114,True,True,TP
115,True,False,FN
116,False,False,TN
117,False,False,TN
118,True,False,FN
119,False,False,TN
120,False,True,FP
121,False,False,TN
122,False,True,FP
123,True,True,TP
124,False,False,TN
125,True,True,TP
126,True,True,TP
127,False,False,TN
128,True,False,FN
129,False,True,FP
130,True,True,TP
131,True,True,TP
132,True,True,TP
133,True,True,TP
134,False,True,FP
135,False,True,FP
136,True,True,TP
137,True,True,TP
138,True,True,TP
139,False,True,FP
140,False,False,TN
141,True,True,TP
142,True,True,TP
143,False,True,FP
144,True,True,TP
145,True,True,TP
146,True,True,TP
147,False,True,FP
148,False,False,TN
149,True,False,FN
150,TRUE,True,TP
151,TRUE,False,FN
152,TRUE,False,FN
153,FALSE,False,TN
154,FALSE,True,FP
156,FALSE,False,TN
157,TRUE,True,TP
158,TRUE,False,FN
160,TRUE,True,TP
161,TRUE,False,FN
162,FALSE,True,FP
163,TRUE,False,FN
164,TRUE,False,FN
165,TRUE,True,TP
166,FALSE,False,TN
167,FALSE,True,FP
168,TRUE,False,FN
169,FALSE,False,TN
170,TRUE,True,TP
171,TRUE,False,FN
172,FALSE,True,FP
173,TRUE,True,TP
175,FALSE,False,TN
176,TRUE,False,FN
177,FALSE,True,FP
178,TRUE,True,TP
179,TRUE,True,TP
180,TRUE,True,TP
181,TRUE,False,FN
182,TRUE,True,TP
183,FALSE,True,FP
184,TRUE,False,FN
185,TRUE,False,FN
186,TRUE,True,TP
187,TRUE,True,TP
188,FALSE,False,TN
189,FALSE,False,TN
190,FALSE,True,FP
191,TRUE,True,TP
192,TRUE,False,FN
193,FALSE,True,FP
194,TRUE,True,TP
195,FALSE,False,TN
196,TRUE,False,FN
197,FALSE,False,TN
198,FALSE,False,TN
199,TRUE,True,TP
200,FALSE,False,TN
201,FALSE,True,FP
202,TRUE,False,FN
203,FALSE,True,FP
204,FALSE,False,TN
205,FALSE,False,TN
206,FALSE,False,TN
207,FALSE,False,TN
208,FALSE,True,FP
210,FALSE,False,TN
211,TRUE,True,TP
212,FALSE,False,TN
213,FALSE,True,FP
214,TRUE,False,FN
215,FALSE,False,TN
216,TRUE,True,TP
217,FALSE,False,TN
218,FALSE,False,TN
219,TRUE,True,TP
221,FALSE,False,TN
222,FALSE,True,FP
223,TRUE,False,FN
224,FALSE,False,TN
225,FALSE,False,TN
226,FALSE,True,FP
227,FALSE,False,TN
228,FALSE,False,TN
229,FALSE,False,TN
230,TRUE,True,TP
