index,rating,response_rating,gpt-4o-2024-05-13
0,True,False,FN
1,False,False,TN
2,False,False,TN
3,False,False,TN
4,False,True,FP
5,False,True,FP
6,False,False,TN
7,True,True,TP
8,False,False,TN
9,True,False,FN
10,False,True,FP
11,False,False,TN
12,False,False,TN
13,True,True,TP
14,True,True,TP
15,False,False,TN
16,True,True,TP
17,False,False,TN
18,False,False,TN
19,True,False,FN
20,False,False,TN
21,True,True,TP
22,False,False,TN
23,False,False,TN
24,True,True,TP
25,True,True,TP
26,True,True,TP
27,False,False,TN
28,False,False,TN
29,False,False,TN
30,False,False,TN
31,False,False,TN
32,False,False,TN
33,False,False,TN
34,False,False,TN
35,False,False,TN
36,False,False,TN
37,False,False,TN
38,False,False,TN
39,True,True,TP
40,False,False,TN
41,False,False,TN
42,True,True,TP
43,False,True,FP
44,False,False,TN
45,False,False,TN
46,False,False,TN
47,False,False,TN
48,False,False,TN
49,False,False,TN
50,True,True,TP
51,True,True,TP
52,True,True,TP
53,True,True,TP
54,False,False,TN
55,True,False,FN
56,False,True,FP
57,True,True,TP
58,True,False,FN
59,True,True,TP
60,True,False,FN
61,True,True,TP
62,False,False,TN
63,False,False,TN
64,False,False,TN
65,True,False,FN
66,False,True,FP
67,True,False,FN
68,True,True,TP
69,False,True,FP
70,True,True,TP
71,True,True,TP
72,False,False,TN
73,False,False,TN
74,True,False,FN
75,True,False,FN
76,False,True,FP
77,False,False,TN
78,False,True,FP
79,False,False,TN
80,False,False,TN
81,True,False,FN
82,False,False,TN
83,True,True,TP
84,True,True,TP
85,False,False,TN
86,True,False,FN
87,False,False,TN
88,True,True,TP
89,True,False,FN
90,False,True,FP
91,True,True,TP
92,False,False,TN
93,False,False,TN
94,True,True,TP
95,False,False,TN
96,True,True,TP
97,False,False,TN
98,True,False,FN
99,True,False,FN
100,False,False,TN
101,True,True,TP
102,True,False,FN
103,True,True,TP
104,True,True,TP
105,True,True,TP
106,True,False,FN
107,False,False,TN
108,False,False,TN
109,False,False,TN
110,False,False,TN
111,False,False,TN
112,True,False,FN
113,False,False,TN
114,True,False,FN
115,True,False,FN
116,False,False,TN
117,False,False,TN
118,True,True,TP
119,False,False,TN
120,False,False,TN
121,False,False,TN
122,False,False,TN
123,True,False,FN
124,False,False,TN
125,True,False,FN
126,True,True,TP
127,False,False,TN
128,True,True,TP
129,False,False,TN
130,True,True,TP
131,True,True,TP
132,True,True,TP
133,True,True,TP
134,False,False,TN
135,False,False,TN
136,True,True,TP
137,True,False,FN
138,True,True,TP
139,False,False,TN
140,False,False,TN
141,True,False,FN
142,True,False,FN
143,False,False,TN
144,True,False,FN
145,True,True,TP
146,True,True,TP
147,False,False,TN
148,False,False,TN
149,True,True,TP
150,TRUE,True,TP
151,TRUE,False,FN
152,TRUE,False,FN
153,FALSE,False,TN
154,FALSE,False,TN
156,FALSE,False,TN
157,TRUE,False,FN
158,TRUE,True,TP
160,TRUE,True,TP
161,TRUE,True,TP
162,FALSE,False,TN
163,TRUE,True,TP
164,TRUE,True,TP
165,TRUE,False,FN
166,FALSE,True,FP
167,FALSE,False,TN
168,TRUE,True,TP
169,FALSE,False,TN
170,TRUE,False,FN
171,TRUE,False,FN
172,FALSE,True,FP
173,TRUE,True,TP
175,FALSE,False,TN
176,TRUE,False,FN
177,FALSE,False,TN
178,TRUE,True,TP
179,TRUE,True,TP
180,TRUE,False,FN
181,TRUE,True,TP
182,TRUE,False,FN
183,FALSE,False,TN
184,TRUE,False,FN
185,TRUE,False,FN
186,TRUE,True,TP
187,TRUE,True,TP
188,FALSE,False,TN
189,FALSE,True,FP
190,FALSE,False,TN
191,TRUE,True,TP
192,TRUE,True,TP
193,FALSE,False,TN
194,TRUE,False,FN
195,FALSE,False,TN
196,TRUE,False,FN
197,FALSE,False,TN
198,FALSE,False,TN
199,TRUE,False,FN
200,FALSE,False,TN
201,FALSE,False,TN
202,TRUE,True,TP
203,FALSE,False,TN
204,FALSE,True,FP
205,FALSE,False,TN
206,FALSE,False,TN
207,FALSE,False,TN
208,FALSE,False,TN
210,FALSE,False,TN
211,TRUE,True,TP
212,FALSE,False,TN
213,FALSE,False,TN
214,TRUE,True,TP
215,FALSE,False,TN
216,TRUE,False,FN
217,FALSE,False,TN
218,FALSE,False,TN
219,TRUE,True,TP
221,FALSE,False,TN
222,FALSE,False,TN
223,TRUE,True,TP
224,FALSE,False,TN
225,FALSE,False,TN
226,FALSE,True,FP
227,FALSE,False,TN
228,FALSE,False,TN
229,FALSE,False,TN
230,TRUE,True,TP
232,FALSE,False,TN
233,FALSE,False,TN
234,TRUE,True,TP
235,FALSE,False,TN
236,FALSE,False,TN
237,FALSE,False,TN
238,TRUE,True,TP
239,TRUE,True,TP
240,TRUE,False,FN
241,TRUE,True,TP
242,TRUE,True,TP
243,FALSE,False,TN
244,TRUE,False,FN
245,FALSE,False,TN
246,FALSE,False,TN
248,FALSE,False,TN
249,FALSE,False,TN
250,FALSE,False,TN
251,TRUE,True,TP
252,FALSE,False,TN
253,FALSE,False,TN
254,FALSE,False,TN
255,FALSE,False,TN
256,FALSE,False,TN
257,FALSE,False,TN
258,FALSE,False,TN
259,FALSE,False,TN
260,FALSE,False,TN
261,FALSE,False,TN
263,FALSE,False,TN
264,FALSE,False,TN
266,FALSE,False,TN
267,FALSE,False,TN
268,TRUE,True,TP
