index,rating,response_rating,llama3:70b
0,True,False,FN
1,False,False,TN
2,False,False,TN
3,False,False,TN
4,False,True,FP
5,False,True,FP
6,False,False,TN
7,True,False,FN
8,False,False,TN
9,True,True,TP
10,False,False,TN
11,False,False,TN
12,False,True,FP
13,True,True,TP
14,True,True,TP
15,False,False,TN
16,True,True,TP
17,False,False,TN
18,False,False,TN
19,True,False,FN
20,False,True,FP
21,True,True,TP
22,False,False,TN
23,False,False,TN
24,True,True,TP
25,True,False,FN
26,True,True,TP
27,False,False,TN
28,False,False,TN
29,False,False,TN
30,False,False,TN
31,False,True,FP
32,False,False,TN
33,False,True,FP
34,False,False,TN
35,False,False,TN
36,False,False,TN
37,False,False,TN
38,False,False,TN
39,True,True,TP
40,False,False,TN
41,False,False,TN
42,True,False,FN
43,False,False,TN
44,False,False,TN
45,False,False,TN
46,False,False,TN
47,False,False,TN
48,False,False,TN
49,False,True,FP
50,True,True,TP
51,True,True,TP
52,True,True,TP
53,True,True,TP
54,False,False,TN
55,True,True,TP
56,False,False,TN
57,True,False,FN
58,True,True,TP
59,True,False,FN
60,True,True,TP
61,True,False,FN
62,False,False,TN
63,False,False,TN
64,False,False,TN
65,True,True,TP
66,False,True,FP
67,True,False,FN
68,True,True,TP
69,False,True,FP
70,True,False,FN
71,True,True,TP
72,False,False,TN
73,False,True,FP
74,True,True,TP
75,True,False,FN
76,False,True,FP
77,False,False,TN
78,False,False,TN
79,False,False,TN
80,False,True,FP
81,True,True,TP
82,False,False,TN
83,True,True,TP
84,True,True,TP
85,False,False,TN
86,True,False,FN
87,False,True,FP
88,True,True,TP
89,True,False,FN
90,False,False,TN
91,True,True,TP
92,False,False,TN
93,False,False,TN
94,True,True,TP
95,False,True,FP
96,True,True,TP
97,False,True,FP
98,True,False,FN
99,True,True,TP
100,False,True,FP
101,True,True,TP
102,True,True,TP
103,True,True,TP
104,True,True,TP
105,True,False,FN
106,True,False,FN
107,False,True,FP
108,False,False,TN
109,False,False,TN
110,False,False,TN
111,False,False,TN
112,True,True,TP
113,False,False,TN
114,True,True,TP
115,True,False,FN
116,False,False,TN
117,False,False,TN
118,True,True,TP
119,False,False,TN
120,False,False,TN
121,False,False,TN
122,False,False,TN
123,True,True,TP
124,False,False,TN
125,True,True,TP
126,True,False,FN
127,False,False,TN
128,True,True,TP
129,False,False,TN
130,True,False,FN
131,True,True,TP
132,True,False,FN
133,True,True,TP
134,False,False,TN
135,False,False,TN
136,True,True,TP
137,True,True,TP
138,True,False,FN
139,False,False,TN
140,False,False,TN
141,True,True,TP
142,True,True,TP
143,False,False,TN
144,True,False,FN
145,True,False,FN
146,True,False,FN
147,False,False,TN
148,False,False,TN
149,True,False,FN
150,TRUE,False,FN
151,TRUE,True,TP
152,TRUE,True,TP
153,FALSE,False,TN
154,FALSE,True,FP
156,FALSE,False,TN
157,TRUE,True,TP
158,TRUE,False,FN
160,TRUE,False,FN
161,TRUE,False,FN
162,FALSE,True,FP
163,TRUE,False,FN
164,TRUE,False,FN
165,TRUE,False,FN
166,FALSE,False,TN
167,FALSE,True,FP
168,TRUE,False,FN
169,FALSE,False,TN
170,TRUE,False,FN
171,TRUE,False,FN
172,FALSE,True,FP
173,TRUE,True,TP
175,FALSE,False,TN
176,TRUE,False,FN
177,FALSE,False,TN
178,TRUE,True,TP
179,TRUE,True,TP
180,TRUE,True,TP
181,TRUE,False,FN
182,TRUE,True,TP
183,FALSE,False,TN
184,TRUE,False,FN
185,TRUE,False,FN
186,TRUE,True,TP
187,TRUE,True,TP
188,FALSE,False,TN
189,FALSE,True,FP
190,FALSE,False,TN
191,TRUE,True,TP
192,TRUE,False,FN
193,FALSE,True,FP
194,TRUE,True,TP
195,FALSE,False,TN
196,TRUE,True,TP
197,FALSE,False,TN
198,FALSE,False,TN
199,TRUE,False,FN
200,FALSE,False,TN
201,FALSE,False,TN
202,TRUE,True,TP
203,FALSE,True,FP
204,FALSE,True,FP
205,FALSE,True,FP
206,FALSE,False,TN
207,FALSE,False,TN
208,FALSE,True,FP
210,FALSE,False,TN
211,TRUE,True,TP
212,FALSE,True,FP
213,FALSE,False,TN
214,TRUE,True,TP
215,FALSE,False,TN
216,TRUE,True,TP
217,FALSE,False,TN
218,FALSE,True,FP
219,TRUE,False,FN
221,FALSE,False,TN
222,FALSE,False,TN
223,TRUE,False,FN
224,FALSE,True,FP
225,FALSE,False,TN
226,FALSE,True,FP
227,FALSE,True,FP
228,FALSE,False,TN
229,FALSE,False,TN
230,TRUE,True,TP
232,FALSE,True,FP
233,FALSE,True,FP
234,TRUE,False,FN
235,FALSE,False,TN
236,FALSE,False,TN
237,FALSE,True,FP
238,TRUE,True,TP
239,TRUE,True,TP
240,TRUE,True,TP
241,TRUE,False,FN
242,TRUE,True,TP
243,FALSE,False,TN
244,TRUE,True,TP
245,FALSE,True,FP
246,FALSE,False,TN
248,FALSE,False,TN
249,FALSE,True,FP
250,FALSE,False,TN
251,TRUE,True,TP
252,FALSE,False,TN
253,FALSE,False,TN
254,FALSE,False,TN
255,FALSE,True,FP
256,FALSE,False,TN
257,FALSE,False,TN
258,FALSE,False,TN
259,FALSE,False,TN
260,FALSE,False,TN
261,FALSE,False,TN
263,FALSE,False,TN
264,FALSE,False,TN
266,FALSE,False,TN
267,FALSE,False,TN
268,TRUE,True,TP
269,FALSE,False,TN
