index,rating,response_rating,gpt-4o-2024-05-13,gpt-3.5-turbo-0125,llama3:70b,FP_FN_count
184,True,False,FN,FN,FN,3
226,False,True,FP,FP,FP,3
76,False,True,FP,FP,FP,3
172,False,True,FP,FP,FP,3
69,False,True,FP,FP,FP,3
171,True,False,FN,FN,FN,3
67,True,False,FN,FN,FN,3
66,False,True,FP,FP,FP,3
185,True,False,FN,FN,FN,3
86,True,False,FN,FN,FN,3
4,False,True,FP,FP,FP,3
75,True,False,FN,FN,FN,3
356,True,False,FN,FN,FN,3
176,True,False,FN,FN,FN,3
5,False,True,FP,FP,FP,3
115,True,False,FN,FN,FN,3
414,True,False,FN,FN,FN,3
167,False,False,TN,FP,FP,2
408,False,True,FP,TN,FP,2
403,True,False,FN,TP,FN,2
397,False,True,FP,TN,FP,2
394,False,False,TN,FP,FP,2
170,True,False,FN,TP,FN,2
168,True,True,TP,FN,FN,2
152,True,False,FN,FN,TP,2
154,False,False,TN,FP,FP,2
144,True,False,FN,TP,FN,2
164,True,True,TP,FN,FN,2
163,True,True,TP,FN,FN,2
162,False,False,TN,FP,FP,2
149,True,True,TP,FN,FN,2
386,False,False,TN,FP,FP,2
161,True,True,TP,FN,FN,2
151,True,False,FN,FN,TP,2
158,True,True,TP,FN,FN,2
165,True,False,FN,TP,FN,2
0,True,False,FN,TP,FN,2
375,True,False,FN,TP,FN,2
181,True,True,TP,FN,FN,2
316,False,False,TN,FP,FP,2
317,True,False,FN,TP,FN,2
293,True,True,TP,FN,FN,2
326,True,True,TP,FN,FN,2
333,False,False,TN,FP,FP,2
334,False,True,FP,TN,FP,2
336,False,True,FP,FP,TN,2
337,False,False,TN,FP,FP,2
244,True,False,FN,FN,TP,2
340,True,True,TP,FN,FN,2
341,True,False,FN,TP,FN,2
343,False,False,TN,FP,FP,2
346,True,True,TP,FN,FN,2
223,True,True,TP,FN,FN,2
208,False,False,TN,FP,FP,2
204,False,True,FP,TN,FP,2
203,False,False,TN,FP,FP,2
199,True,False,FN,TP,FN,2
196,True,False,FN,FN,TP,2
193,False,False,TN,FP,FP,2
192,True,True,TP,FN,FN,2
189,False,True,FP,TN,FP,2
425,True,False,FN,FN,TP,2
419,True,False,FN,TP,FN,2
395,False,False,TN,FP,FP,2
426,False,False,TN,FP,FP,2
31,False,False,TN,FP,FP,2
487,True,False,FN,TP,FN,2
450,False,False,TN,FP,FP,2
485,True,False,FN,TP,FN,2
89,True,False,FN,TP,FN,2
87,False,False,TN,FP,FP,2
80,False,False,TN,FP,FP,2
459,False,False,TN,FP,FP,2
460,True,False,FN,TP,FN,2
73,False,False,TN,FP,FP,2
462,True,True,TP,FN,FN,2
476,True,False,FN,TP,FN,2
469,False,True,FP,FP,TN,2
470,True,False,FN,TP,FN,2
55,True,False,FN,FN,TP,2
58,True,False,FN,FN,TP,2
98,True,False,FN,TP,FN,2
486,True,False,FN,TP,FN,2
57,True,True,TP,FN,FN,2
105,True,True,TP,FN,FN,2
494,True,False,FN,TP,FN,2
107,False,False,TN,FP,FP,2
106,True,False,FN,TP,FN,2
10,False,True,FP,FP,TN,2
19,True,False,FN,TP,FN,2
102,True,False,FN,FN,TP,2
7,True,True,TP,FN,FN,2
491,True,False,FN,TP,FN,2
12,False,False,TN,FP,FP,2
496,False,False,TN,FP,TN,1
361,False,False,TN,FP,TN,1
321,False,False,TN,FP,TN,1
318,False,False,TN,TN,FP,1
475,False,False,TN,TN,FP,1
320,False,False,TN,TN,FP,1
360,False,False,TN,FP,TN,1
359,True,True,TP,FN,TP,1
357,False,False,TN,FP,TN,1
478,False,False,TN,FP,TN,1
339,True,True,TP,TP,FN,1
495,True,True,TP,TP,FN,1
490,True,True,TP,TP,FN,1
353,True,True,TP,TP,FN,1
352,True,True,TP,FN,TP,1
481,True,True,TP,TP,FN,1
350,False,False,TN,FP,TN,1
335,False,False,TN,TN,FP,1
349,False,False,TN,TN,FP,1
