index,rating,response_rating,gpt-4o-2024-05-13,gpt-3.5-turbo-0125,llama3:70b
0,True,False,FN,TP,FN
1,False,False,TN,TN,TN
2,False,False,TN,TN,TN
3,False,False,TN,TN,TN
4,False,True,FP,FP,FP
5,False,True,FP,FP,FP
6,False,False,TN,TN,TN
7,True,True,TP,FN,FN
8,False,False,TN,TN,TN
9,True,False,FN,TP,TP
10,False,True,FP,FP,TN
11,False,False,TN,TN,TN
12,False,False,TN,FP,FP
13,True,True,TP,FN,TP
14,True,True,TP,TP,TP
15,False,False,TN,TN,TN
16,True,True,TP,TP,TP
17,False,False,TN,FP,TN
18,False,False,TN,TN,TN
19,True,False,FN,TP,FN
20,False,False,TN,TN,FP
21,True,True,TP,TP,TP
22,False,False,TN,TN,TN
23,False,False,TN,TN,TN
24,True,True,TP,TP,TP
25,True,True,TP,TP,FN
26,True,True,TP,TP,TP
27,False,False,TN,TN,TN
28,False,False,TN,FP,TN
29,False,False,TN,TN,TN
30,False,False,TN,TN,TN
31,False,False,TN,FP,FP
32,False,False,TN,TN,TN
33,False,False,TN,TN,FP
34,False,False,TN,TN,TN
35,False,False,TN,TN,TN
36,False,False,TN,TN,TN
37,False,False,TN,TN,TN
38,False,False,TN,TN,TN
39,True,True,TP,FN,TP
40,False,False,TN,TN,TN
41,False,False,TN,TN,TN
42,True,True,TP,TP,FN
43,False,True,FP,TN,TN
44,False,False,TN,TN,TN
45,False,False,TN,TN,TN
46,False,False,TN,FP,TN
47,False,False,TN,TN,TN
48,False,False,TN,FP,TN
49,False,False,TN,TN,FP
50,True,True,TP,TP,TP
51,True,True,TP,TP,TP
52,True,True,TP,TP,TP
53,True,True,TP,TP,TP
54,False,False,TN,TN,TN
55,True,False,FN,FN,TP
56,False,True,FP,TN,TN
57,True,True,TP,FN,FN
58,True,False,FN,FN,TP
59,True,True,TP,TP,FN
60,True,False,FN,TP,TP
61,True,True,TP,TP,FN
62,False,False,TN,TN,TN
63,False,False,TN,TN,TN
64,False,False,TN,TN,TN
65,True,False,FN,TP,TP
66,False,True,FP,FP,FP
67,True,False,FN,FN,FN
68,True,True,TP,FN,TP
69,False,True,FP,FP,FP
70,True,True,TP,TP,FN
71,True,True,TP,TP,TP
72,False,False,TN,TN,TN
73,False,False,TN,FP,FP
74,True,False,FN,TP,TP
